Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8152173913043478,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8945480631276901
Random Forest,0.8369565217391305,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9216284074605452
